Price,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,ORCL,ORCL,ORCL,ORCL,ORCL,ORCL,ORCL,ORCL
Date,,,,,,,,
2018-01-02,41.25120544433594,46.630001068115234,0.0,47.79999923706055,46.16999816894531,47.56999969482422,0.0,25380000
2018-01-03,42.206607818603516,47.709999084472656,0.0,48.06999969482422,47.439998626708984,47.529998779296875,0.0,24165000
2018-01-04,42.622398376464844,48.18000030517578,0.0,48.189998626708984,47.720001220703125,47.9900016784668,0.0,19815100
2018-01-05,42.87895584106445,48.470001220703125,0.0,48.630001068115234,48.279998779296875,48.41999816894531,0.0,14496400
2018-01-08,43.330135345458984,48.97999954223633,0.0,49.06999969482422,47.939998626708984,48.29999923706055,0.0,15075000
2018-01-09,43.569908142089844,49.060001373291016,0.19,49.36000061035156,48.91999816894531,49.25,0.0,14153700
2018-01-10,43.3390007019043,48.79999923706055,0.0,49.27000045776367,48.58000183105469,48.86000061035156,0.0,13476600
2018-01-11,43.47222137451172,48.95000076293945,0.0,49.02000045776367,48.439998626708984,48.869998931884766,0.0,11687800
2018-01-12,43.969547271728516,49.5099983215332,0.0,49.83000183105469,49.060001373291016,49.18000030517578,0.0,15978200
2018-01-16,44.04059982299805,49.59000015258789,0.0,50.060001373291016,49.439998626708984,49.849998474121094,0.0,17152600
2018-01-17,44.64449691772461,50.27000045776367,0.0,50.290000915527344,49.849998474121094,49.90999984741211,0.0,23183100
2018-01-18,44.60897445678711,50.22999954223633,0.0,50.68000030517578,50.099998474121094,50.189998626708984,0.0,17119200
2018-01-19,44.91981506347656,50.58000183105469,0.0,50.599998474121094,50.27000045776367,50.5,0.0,14011500
2018-01-22,45.03526306152344,50.709999084472656,0.0,50.7400016784668,50.27000045776367,50.43000030517578,0.0,16840000
2018-01-23,45.399375915527344,51.119998931884766,0.0,51.27000045776367,50.56999969482422,50.75,0.0,14141400
2018-01-24,45.69245910644531,51.45000076293945,0.0,52.0,51.209999084472656,51.36000061035156,0.0,17205600
2018-01-25,45.825660705566406,51.599998474121094,0.0,52.04999923706055,51.540000915527344,51.540000915527344,0.0,13904300
2018-01-26,46.84697341918945,52.75,0.0,52.75,51.7599983215332,51.86000061035156,0.0,14909200
2018-01-29,46.12762451171875,51.939998626708984,0.0,52.790000915527344,51.880001068115234,52.66999816894531,0.0,12234900
2018-01-30,45.257293701171875,50.959999084472656,0.0,51.9900016784668,50.75,51.7400016784668,0.0,16863500
2018-01-31,45.816776275634766,51.59000015258789,0.0,51.849998474121094,50.86000061035156,50.86000061035156,0.0,16806800
