Price,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,,,,
2018-01-02,52.81637954711914,53.25,0.0,53.34700012207031,52.26150131225586,52.41699981689453,0.0,24752000
2018-01-03,53.68326950073242,54.124000549316406,0.0,54.31449890136719,53.160499572753906,53.21549987792969,0.0,28604000
2018-01-04,53.87766647338867,54.31999969482422,0.0,54.67850112915039,54.20009994506836,54.400001525878906,0.0,20092000
2018-01-05,54.6627197265625,55.11149978637695,0.0,55.212501525878906,54.599998474121094,54.70000076293945,0.0,25582000
2018-01-08,54.896305084228516,55.34700012207031,0.0,55.563499450683594,55.08100128173828,55.11149978637695,0.0,20952000
2018-01-09,54.86258316040039,55.3129997253418,0.0,55.528499603271484,55.06155014038086,55.470001220703125,0.0,18050000
2018-01-10,54.68157196044922,55.13050079345703,0.0,55.22999954223633,54.80550003051758,54.85499954223633,0.0,20856000
2018-01-11,54.825889587402344,55.2760009765625,0.0,55.32624816894531,54.97949981689453,55.314998626708984,0.0,19566000
2018-01-12,55.656070709228516,56.112998962402344,0.0,56.214500427246094,55.057498931884766,55.12049865722656,0.0,34410000
2018-01-16,55.631263732910156,56.0880012512207,0.0,56.99549865722656,55.8916015625,56.6254997253418,0.0,31506000
2018-01-17,56.13810729980469,56.5989990234375,0.0,56.630001068115234,55.85049819946289,56.31100082397461,0.0,24052000
2018-01-18,56.029502868652344,56.489498138427734,0.0,56.6254997253418,55.875,56.570499420166016,0.0,23964000
2018-01-19,56.412357330322266,56.8754997253418,0.0,56.893001556396484,56.415000915527344,56.59149932861328,0.0,35564000
2018-01-22,57.319908142089844,57.79050064086914,0.0,57.99399948120117,56.75550079345703,56.8745002746582,0.0,32360000
2018-01-23,58.02214431762695,58.49850082397461,0.0,58.58134841918945,57.9375,57.99250030517578,0.0,26662000
